car_id,brand,model,year,kms_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,location,price
1027,Mahindra,TUV300,2008,23261,CNG,Manual,First,19.1,1197,115,4,Chennai,2.48
1028,Toyota,Etios,2011,115130,Petrol,Manual,Second,15.6,998,75,5,Bangalore,2.06
1029,Mahindra,Scorpio,2014,120888,CNG,Automatic,First,19.0,1197,74,5,Mumbai,3.94
1030,Maruti,Dzire,2022,25979,CNG,Automatic,First,18.3,998,104,7,Chennai,8.43
1031,Ford,Aspire,2010,24910,CNG,Manual,First,17.0,998,77,7,Delhi,2.77
1032,Volkswagen,Polo,2017,41427,CNG,Manual,Third,18.9,1998,90,4,Hyderabad,4.97
1033,Maruti,Baleno,2021,92934,Diesel,Manual,Third,17.3,1497,57,4,Bangalore,5.33
1034,Toyota,Innova,2014,129858,Diesel,Manual,First,17.0,1598,69,7,Hyderabad,2.92
1035,Maruti,Swift,2022,65877,CNG,Automatic,First,19.2,1497,123,4,Mumbai,8.07
1036,Honda,Amaze,2010,124867,CNG,Automatic,Third,18.8,1998,84,4,Pune,1.5
1037,Mahindra,TUV300,2014,37154,Petrol,Automatic,First,17.9,998,86,7,Hyderabad,6.59
1038,Hyundai,i20,2014,65215,CNG,Automatic,First,17.4,1497,91,7,Chennai,4.78
1039,Honda,City,2007,121037,Diesel,Manual,First,14.5,1497,108,4,Pune,1.5
1040,Honda,City,2019,122115,CNG,Manual,First,20.4,998,67,7,Mumbai,5.86
1041,Ford,EcoSport,2016,48821,Diesel,Manual,First,13.8,1497,97,5,Kolkata,6.52
1042,Mahindra,XUV500,2016,65070,CNG,Manual,Third,15.0,998,74,5,Kolkata,4.15
1043,Ford,Figo,2009,72059,Petrol,Manual,Second,16.5,998,54,4,Pune,1.69
1044,Honda,Amaze,2012,79941,Petrol,Manual,Second,14.8,998,94,5,Mumbai,2.24
1045,Hyundai,i20,2016,90003,Petrol,Manual,First,22.6,1197,69,5,Bangalore,4.44
1046,Honda,City,2013,102050,CNG,Automatic,Third,20.4,1998,60,5,Delhi,2.77
1047,Maruti,Baleno,2010,79590,Petrol,Manual,Third,21.9,1598,53,5,Pune,1.5
1048,Mahindra,Scorpio,2018,144066,Petrol,Automatic,Third,18.8,1197,101,5,Delhi,3.2
1049,Volkswagen,Vento,2005,146293,CNG,Manual,Second,14.0,1598,95,4,Pune,1.5
1050,Honda,Jazz,2015,42669,CNG,Automatic,Third,18.8,1497,92,7,Chennai,4.31
1051,Honda,Amaze,2014,43367,Petrol,Automatic,Third,18.7,1598,91,7,Pune,3.88
1052,Hyundai,Verna,2014,116450,CNG,Manual,Second,23.6,1497,94,4,Chennai,2.18
1053,Mahindra,TUV300,2015,131893,Diesel,Automatic,Third,20.0,1197,66,7,Chennai,3.26
1054,Mahindra,TUV300,2010,32228,Diesel,Automatic,First,21.5,1197,69,7,Bangalore,4.34
1055,Hyundai,i10,2009,16402,Petrol,Manual,Second,19.2,1998,101,4,Chennai,3.72
1056,Toyota,Corolla,2011,110657,Diesel,Automatic,First,17.3,1197,70,7,Pune,2.24
1057,Maruti,Swift,2018,67367,Petrol,Automatic,First,15.6,1998,83,4,Kolkata,6.52
1058,Maruti,Baleno,2009,131803,CNG,Automatic,Second,18.8,1998,102,7,Hyderabad,1.5
1059,Toyota,Corolla,2019,51722,CNG,Automatic,Second,22.4,1497,80,4,Kolkata,7.93
1060,Volkswagen,Vento,2021,137034,CNG,Manual,Second,19.9,1598,68,4,Pune,4.62
1061,Honda,City,2013,98040,Diesel,Manual,First,19.4,1197,81,4,Chennai,3.6
1062,Volkswagen,Polo,2011,26837,Diesel,Automatic,Second,19.4,1998,84,5,Chennai,3.44
1063,Maruti,Swift,2018,112099,CNG,Manual,Third,13.5,1598,76,5,Delhi,4.39
1064,Honda,Amaze,2017,119843,CNG,Manual,Second,18.6,1197,60,5,Chennai,3.99
1065,Toyota,Innova,2017,98114,CNG,Automatic,Third,19.2,1197,67,5,Mumbai,4.41
1066,Ford,Aspire,2005,113290,CNG,Manual,First,18.2,1598,62,4,Kolkata,1.5
1067,Toyota,Innova,2006,78198,Diesel,Automatic,First,19.7,1598,107,5,Bangalore,1.86
1068,Mahindra,Scorpio,2013,120510,Diesel,Manual,Second,13.9,998,66,7,Hyderabad,2.55
1069,Maruti,Baleno,2012,27987,CNG,Manual,First,19.5,1197,95,4,Kolkata,6.17
1070,Maruti,Dzire,2009,72533,Petrol,Automatic,Third,19.7,998,108,7,Mumbai,2.13
1071,Toyota,Corolla,2013,106703,Petrol,Manual,First,20.0,1497,79,4,Hyderabad,3.45
1072,Maruti,Baleno,2017,113980,CNG,Manual,First,15.7,1998,80,7,Kolkata,4.28
1073,Volkswagen,Polo,2008,89058,CNG,Manual,Third,18.2,998,131,5,Hyderabad,1.5
1074,Toyota,Corolla,2016,28076,CNG,Automatic,First,20.1,1598,53,5,Delhi,6.1
1075,Toyota,Etios,2019,50105,Diesel,Manual,Third,21.3,1998,86,7,Bangalore,5.06
1076,Ford,Aspire,2020,131863,Diesel,Automatic,Second,15.9,1197,99,4,Bangalore,5.0
1077,Toyota,Innova,2019,109349,Diesel,Manual,Second,18.6,1497,86,4,Chennai,4.59
1078,Hyundai,i20,2013,99217,Diesel,Automatic,Third,24.4,998,98,7,Mumbai,1.7
1079,Maruti,Swift,2018,138077,CNG,Manual,Third,18.6,1598,72,7,Pune,3.86
1080,Toyota,Etios,2005,34393,Diesel,Manual,Second,15.6,1197,83,5,Pune,1.5
1081,Ford,Figo,2020,149177,Diesel,Automatic,Third,20.6,1998,61,5,Bangalore,4.35
1082,Volkswagen,Vento,2013,90379,Diesel,Manual,First,16.6,1197,72,5,Delhi,4.28
1083,Volkswagen,Jetta,2010,60211,Petrol,Automatic,Second,19.2,1998,60,7,Hyderabad,3.25
1084,Honda,City,2011,87659,Petrol,Automatic,First,24.4,1497,106,4,Pune,2.39
1085,Ford,EcoSport,2013,21931,Petrol,Automatic,Third,16.5,1197,110,7,Kolkata,3.91
1086,Mahindra,Scorpio,2008,13215,CNG,Automatic,Second,19.3,1598,100,5,Bangalore,2.47
1087,Hyundai,i10,2013,135233,Petrol,Manual,Second,17.8,1598,20,4,Hyderabad,1.5
1088,Volkswagen,Jetta,2006,49774,Petrol,Automatic,First,17.2,1197,60,4,Hyderabad,2.72
1089,Mahindra,Scorpio,2012,146989,Diesel,Automatic,Second,13.7,1497,76,7,Chennai,1.93
1090,Honda,Jazz,2006,36013,Petrol,Manual,Second,22.3,998,56,4,Mumbai,1.76
1091,Hyundai,Verna,2007,51034,Petrol,Automatic,Second,18.0,1998,65,5,Bangalore,2.01
1092,Maruti,Swift,2014,84112,CNG,Automatic,First,18.6,1197,73,5,Kolkata,4.45
1093,Mahindra,TUV300,2011,121447,Petrol,Manual,Third,16.8,1197,87,5,Kolkata,1.5
1094,Hyundai,i10,2006,53495,Diesel,Automatic,Second,22.8,998,60,5,Pune,2.4
1095,Honda,Jazz,2017,81367,CNG,Automatic,Second,12.1,998,82,7,Delhi,5.47
1096,Toyota,Corolla,2015,75632,Petrol,Manual,First,18.8,1998,73,7,Delhi,4.38
1097,Mahindra,TUV300,2013,20546,Petrol,Automatic,Third,16.5,1598,73,5,Mumbai,4.71
1098,Ford,Figo,2020,33918,Diesel,Automatic,Second,19.1,1497,71,5,Pune,7.77
1099,Maruti,Swift,2015,117910,CNG,Automatic,Second,18.9,1598,101,7,Delhi,3.96
1100,Toyota,Innova,2015,76164,Diesel,Manual,Second,15.5,1998,74,4,Pune,4.35
1101,Mahindra,TUV300,2019,118330,Petrol,Manual,Third,19.8,1497,85,7,Kolkata,4.29
1102,Toyota,Corolla,2019,23529,Petrol,Automatic,Third,21.8,1197,73,5,Chennai,6.9
1103,Volkswagen,Vento,2008,17567,CNG,Manual,Third,17.4,1197,81,5,Hyderabad,2.4
1104,Maruti,Dzire,2018,34434,Petrol,Manual,Second,20.5,998,101,7,Kolkata,6.66
1105,Hyundai,i20,2014,143397,CNG,Automatic,Second,18.1,1598,99,5,Mumbai,2.58
1106,Toyota,Corolla,2009,110554,Petrol,Manual,First,19.0,1497,82,5,Bangalore,1.5
1107,Mahindra,TUV300,2013,10672,Diesel,Automatic,Third,19.8,1998,69,7,Chennai,5.53
1108,Mahindra,XUV500,2019,136967,Diesel,Automatic,Third,15.0,1998,61,5,Chennai,4.94
1109,Honda,City,2012,110393,Petrol,Automatic,First,20.4,1497,97,7,Chennai,3.41
1110,Volkswagen,Vento,2017,49873,Diesel,Manual,First,18.0,1998,67,7,Bangalore,5.84
1111,Mahindra,XUV500,2019,36138,CNG,Automatic,First,16.0,1197,105,5,Kolkata,7.3
1112,Volkswagen,Polo,2007,133074,Diesel,Automatic,Third,15.5,1598,79,7,Delhi,1.5
1113,Mahindra,Scorpio,2022,109617,Diesel,Automatic,Third,16.3,998,69,7,Delhi,6.23
1114,Hyundai,Verna,2014,69634,CNG,Manual,Second,18.7,998,75,7,Pune,3.47
1115,Mahindra,XUV500,2019,53611,CNG,Automatic,First,18.7,998,56,5,Kolkata,6.32
1116,Maruti,Baleno,2016,108262,Diesel,Manual,First,15.8,1998,81,5,Hyderabad,4.39
1117,Volkswagen,Polo,2010,55893,Petrol,Automatic,Third,22.4,1197,102,5,Hyderabad,2.3
1118,Hyundai,i10,2019,76578,Diesel,Automatic,Third,17.9,998,65,5,Bangalore,5.56
1119,Volkswagen,Jetta,2010,29362,Diesel,Automatic,Third,17.1,1497,91,7,Chennai,2.5
1120,Volkswagen,Vento,2019,89199,Petrol,Automatic,Second,19.6,998,116,4,Chennai,5.76
1121,Ford,Figo,2014,87392,Petrol,Automatic,Second,19.2,998,99,7,Kolkata,3.65
1122,Volkswagen,Jetta,2006,140214,Diesel,Manual,Third,18.7,1497,85,4,Pune,1.5
1123,Hyundai,Verna,2013,45855,CNG,Manual,Third,15.7,998,85,5,Kolkata,3.53
1124,Toyota,Innova,2016,44448,Petrol,Automatic,Second,22.4,1598,104,4,Mumbai,6.59
1125,Hyundai,Verna,2016,149159,CNG,Automatic,First,15.7,1497,102,5,Kolkata,4.01
1126,Honda,Jazz,2015,40191,Diesel,Manual,First,24.6,1197,69,7,Pune,4.78
1127,Volkswagen,Vento,2022,105885,Petrol,Automatic,First,16.2,1497,43,7,Delhi,6.92
1128,Toyota,Etios,2013,109883,CNG,Automatic,First,15.7,1197,88,5,Delhi,3.67
1129,Ford,Aspire,2015,68030,CNG,Manual,Third,23.6,1598,104,7,Bangalore,3.35
1130,Volkswagen,Vento,2008,46641,Petrol,Manual,Second,15.3,1598,95,4,Delhi,1.5
1131,Hyundai,Verna,2009,111881,Diesel,Automatic,Third,23.5,1998,109,5,Hyderabad,1.5
1132,Volkswagen,Jetta,2009,118759,CNG,Manual,Second,12.9,1998,112,5,Bangalore,1.5
1133,Maruti,Dzire,2016,66955,Diesel,Automatic,First,21.7,1497,53,4,Pune,5.26
1134,Honda,Jazz,2016,25872,Diesel,Automatic,First,18.0,998,86,5,Delhi,6.16
1135,Volkswagen,Polo,2005,23258,Diesel,Manual,First,19.9,1998,64,4,Delhi,1.5
1136,Mahindra,TUV300,2011,66610,Petrol,Automatic,First,18.4,1998,95,4,Bangalore,3.92
1137,Mahindra,XUV500,2009,75707,Petrol,Manual,Third,14.6,998,54,4,Delhi,1.72
1138,Honda,City,2015,14136,Petrol,Automatic,First,19.0,1197,70,7,Chennai,6.99
1139,Ford,EcoSport,2007,134845,Diesel,Automatic,Third,18.3,1998,109,4,Chennai,1.5
1140,Ford,EcoSport,2006,146695,Diesel,Automatic,Third,24.2,998,120,4,Chennai,1.5
1141,Mahindra,Scorpio,2018,38301,Diesel,Automatic,First,20.9,998,98,5,Hyderabad,7.62
1142,Hyundai,i10,2009,82093,CNG,Automatic,Second,15.1,1998,99,7,Bangalore,2.49
1143,Toyota,Corolla,2018,35999,CNG,Manual,Third,12.7,1998,61,7,Kolkata,4.46
1144,Hyundai,i20,2019,69898,Diesel,Automatic,Second,17.2,1598,99,5,Pune,6.95
1145,Maruti,Baleno,2018,91926,CNG,Automatic,Second,18.2,1197,118,7,Chennai,4.67
1146,Maruti,Swift,2007,34439,Diesel,Manual,Third,12.9,1497,84,4,Hyderabad,1.5
1147,Maruti,Dzire,2022,96414,CNG,Manual,Second,17.9,1497,44,7,Kolkata,6.33
1148,Toyota,Corolla,2006,85400,CNG,Automatic,Second,14.1,998,98,7,Hyderabad,1.5
1149,Hyundai,i10,2020,68784,Petrol,Automatic,Third,15.2,1497,75,4,Kolkata,5.59
1150,Honda,Jazz,2012,122489,CNG,Manual,Third,17.8,1497,104,4,Mumbai,1.5
1151,Honda,Jazz,2014,99082,Diesel,Manual,First,19.5,1197,74,7,Pune,3.22
1152,Toyota,Innova,2009,18036,Petrol,Manual,Second,17.7,1598,64,5,Bangalore,2.46
1153,Hyundai,i20,2014,95035,CNG,Manual,First,14.4,1197,124,4,Kolkata,3.72
1154,Ford,EcoSport,2007,81330,Diesel,Automatic,Second,15.9,1998,89,5,Chennai,1.5
1155,Honda,City,2021,39836,Diesel,Automatic,First,17.3,1497,97,7,Pune,8.48
1156,Ford,Figo,2021,90850,Petrol,Manual,Second,16.4,1998,73,4,Delhi,5.95
1157,Hyundai,i20,2011,45975,Diesel,Automatic,Second,11.1,998,55,4,Chennai,4.16
1158,Volkswagen,Vento,2010,43865,Diesel,Manual,Third,22.9,1998,80,7,Kolkata,2.41
1159,Honda,City,2017,21089,Diesel,Manual,Second,18.9,998,147,5,Hyderabad,6.44
1160,Toyota,Corolla,2017,119495,Diesel,Manual,Second,17.6,998,66,5,Mumbai,3.11
1161,Mahindra,TUV300,2019,104857,Petrol,Automatic,First,18.6,1197,70,5,Hyderabad,5.29
1162,Toyota,Corolla,2007,113747,Diesel,Automatic,First,16.1,1497,63,4,Delhi,1.87
1163,Ford,Aspire,2008,149094,CNG,Manual,Second,20.6,1497,85,7,Kolkata,1.5
1164,Volkswagen,Polo,2012,36949,Petrol,Automatic,First,18.2,1197,68,7,Mumbai,5.32
1165,Mahindra,TUV300,2007,56437,CNG,Automatic,Second,19.6,1998,64,7,Chennai,1.58
1166,Volkswagen,Jetta,2015,92873,Petrol,Automatic,First,15.4,1598,57,5,Pune,5.11
1167,Honda,Amaze,2006,102259,CNG,Manual,Second,23.7,1598,57,5,Delhi,1.5
1168,Maruti,Baleno,2014,30114,CNG,Manual,Third,16.0,1998,75,7,Chennai,3.7
1169,Toyota,Corolla,2022,20753,Diesel,Manual,Second,15.4,1998,86,5,Hyderabad,7.47
1170,Hyundai,i10,2019,37132,Diesel,Manual,Third,18.8,1197,84,4,Mumbai,5.74
1171,Volkswagen,Vento,2019,147381,CNG,Manual,Second,15.3,1497,73,5,Chennai,4.53
1172,Toyota,Etios,2006,97726,Petrol,Automatic,First,19.5,1998,65,7,Chennai,1.5
1173,Honda,Amaze,2009,97388,Petrol,Manual,Second,20.3,1497,52,7,Pune,1.5
1174,Volkswagen,Vento,2009,32208,Diesel,Automatic,Third,16.0,1497,96,4,Pune,2.07
1175,Volkswagen,Jetta,2021,34498,CNG,Automatic,Third,12.6,1497,52,4,Bangalore,7.23
1176,Honda,City,2011,99583,Diesel,Manual,First,18.8,1197,67,4,Delhi,2.73
1177,Honda,City,2021,148027,Petrol,Automatic,Third,13.0,1197,84,7,Chennai,4.33
1178,Hyundai,i10,2010,53395,CNG,Automatic,First,16.0,1598,86,5,Pune,3.0
1179,Volkswagen,Polo,2019,84692,CNG,Automatic,First,16.8,1998,105,4,Bangalore,6.12
1180,Mahindra,Scorpio,2011,106427,CNG,Automatic,Second,20.5,1497,62,5,Hyderabad,2.54
1181,Ford,Figo,2010,62349,CNG,Manual,Second,22.3,998,36,7,Chennai,1.85
1182,Mahindra,Scorpio,2022,36893,CNG,Manual,Second,19.7,998,81,4,Bangalore,7.75
1183,Toyota,Corolla,2009,124680,Petrol,Manual,Second,16.2,1497,87,4,Chennai,1.5
1184,Maruti,Baleno,2021,108031,Petrol,Automatic,First,21.5,1497,90,4,Delhi,6.91
1185,Honda,City,2015,48285,Petrol,Manual,Second,16.8,1598,75,7,Kolkata,4.32
1186,Hyundai,Verna,2020,127598,CNG,Manual,First,19.2,998,77,5,Mumbai,5.59
1187,Mahindra,XUV500,2022,148352,Diesel,Manual,Second,24.2,1197,102,5,Delhi,5.17
1188,Maruti,Swift,2018,129829,Petrol,Manual,Second,21.6,1998,77,7,Delhi,3.08
1189,Volkswagen,Jetta,2012,47637,Diesel,Automatic,First,15.0,1998,48,5,Mumbai,4.17
1190,Ford,Figo,2010,32443,CNG,Automatic,First,18.1,1998,119,7,Hyderabad,4.01
1191,Mahindra,TUV300,2022,15330,Diesel,Automatic,First,17.3,1598,102,5,Bangalore,7.89
1192,Volkswagen,Polo,2016,27710,Diesel,Manual,Third,18.7,998,100,7,Pune,4.11
1193,Mahindra,Scorpio,2009,21622,Diesel,Automatic,Third,21.4,1197,92,7,Chennai,2.46
1194,Volkswagen,Vento,2010,45350,Petrol,Automatic,First,19.9,1497,130,4,Delhi,3.68
1195,Mahindra,XUV500,2006,92731,Diesel,Automatic,Third,18.7,1598,76,5,Delhi,1.5
1196,Mahindra,TUV300,2011,85002,Diesel,Manual,Third,20.5,1497,68,5,Delhi,1.74
1197,Mahindra,Scorpio,2018,114863,CNG,Automatic,Second,16.6,1497,95,4,Chennai,5.07
1198,Volkswagen,Vento,2016,146125,Diesel,Manual,Third,21.1,1598,75,4,Chennai,2.34
1199,Ford,EcoSport,2022,87009,Diesel,Manual,First,15.1,1497,76,7,Bangalore,7.25
1200,Honda,Amaze,2018,53684,CNG,Automatic,Second,20.3,1598,67,4,Pune,6.56
1201,Mahindra,Scorpio,2018,81973,CNG,Manual,First,22.1,1598,93,5,Hyderabad,6.5
1202,Mahindra,TUV300,2010,18163,Petrol,Automatic,First,15.7,1197,60,4,Mumbai,3.25
1203,Mahindra,TUV300,2016,104935,Diesel,Manual,Third,22.5,1197,98,7,Chennai,3.27
1204,Honda,Amaze,2019,30155,CNG,Manual,Third,18.8,1497,62,5,Bangalore,7.22
1205,Volkswagen,Vento,2012,39739,Petrol,Manual,Second,18.4,1998,87,5,Hyderabad,3.87
1206,Maruti,Baleno,2013,126987,Petrol,Automatic,Third,19.4,1598,89,4,Delhi,1.77
1207,Hyundai,i10,2019,55260,CNG,Automatic,First,19.4,1497,123,7,Bangalore,7.67
1208,Volkswagen,Polo,2022,86116,Diesel,Manual,Third,22.8,1197,75,5,Hyderabad,5.58
1209,Hyundai,i10,2011,46405,Petrol,Automatic,First,17.6,1497,86,7,Hyderabad,4.52
1210,Honda,Amaze,2022,44018,CNG,Manual,First,12.9,1497,116,5,Pune,7.84
1211,Volkswagen,Vento,2021,117687,Diesel,Manual,First,16.7,1497,65,7,Delhi,5.22
1212,Toyota,Etios,2021,100312,Petrol,Manual,First,20.5,1598,86,7,Kolkata,5.75
1213,Maruti,Swift,2021,50112,Diesel,Manual,First,14.1,1497,78,7,Mumbai,8.23
1214,Honda,Jazz,2014,30672,Diesel,Manual,Third,17.2,1998,55,5,Mumbai,3.86
1215,Volkswagen,Vento,2022,34491,CNG,Manual,Third,17.2,1998,31,4,Mumbai,7.08
1216,Volkswagen,Jetta,2015,20798,Petrol,Manual,First,17.3,1998,99,5,Pune,6.51
1217,Hyundai,Verna,2018,17939,Diesel,Automatic,Third,21.4,1497,80,5,Mumbai,5.79
1218,Mahindra,TUV300,2017,87970,Diesel,Manual,Third,25.7,998,86,4,Chennai,4.05
1219,Toyota,Etios,2019,63483,Diesel,Manual,Second,17.9,1497,89,7,Kolkata,5.76
1220,Honda,Amaze,2009,107134,CNG,Manual,Second,16.3,1197,74,5,Delhi,1.5
1221,Honda,Amaze,2012,46930,Petrol,Manual,Second,16.4,1598,71,7,Chennai,3.41
1222,Hyundai,i10,2015,91976,Petrol,Manual,Second,17.2,1998,115,5,Chennai,2.33
1223,Honda,Amaze,2005,33605,Diesel,Automatic,First,21.3,1197,110,7,Bangalore,1.5
1224,Maruti,Swift,2014,139733,CNG,Automatic,Second,17.0,1998,78,4,Kolkata,2.1
1225,Maruti,Baleno,2009,79329,CNG,Automatic,Second,15.7,1497,63,4,Chennai,2.89
1226,Maruti,Dzire,2022,61027,Diesel,Automatic,First,20.8,1598,110,7,Chennai,8.44
1227,Mahindra,TUV300,2013,41145,Petrol,Manual,Second,14.6,1497,75,5,Hyderabad,4.12
1228,Honda,City,2011,143463,Diesel,Manual,First,14.3,998,99,4,Pune,1.5
1229,Honda,Amaze,2021,129796,Petrol,Manual,Second,16.9,1998,99,5,Mumbai,5.53
1230,Toyota,Corolla,2014,98178,CNG,Automatic,Third,16.9,1998,108,5,Chennai,2.6
1231,Mahindra,XUV500,2016,96832,CNG,Manual,Second,19.8,1998,97,5,Kolkata,3.81
1232,Volkswagen,Jetta,2005,134410,Diesel,Manual,Third,19.0,998,60,7,Chennai,1.5
1233,Hyundai,Verna,2017,48738,CNG,Manual,First,17.4,1998,75,7,Delhi,6.35
1234,Hyundai,i10,2019,92232,Diesel,Manual,Second,15.9,1197,57,5,Hyderabad,4.48
1235,Mahindra,TUV300,2020,26326,CNG,Manual,Third,19.8,1197,59,7,Bangalore,7.35
1236,Volkswagen,Vento,2021,108782,Diesel,Manual,Second,11.8,1998,119,5,Hyderabad,5.83
1237,Honda,Jazz,2013,136924,Petrol,Manual,Second,17.7,1998,74,5,Mumbai,2.16
1238,Honda,Amaze,2011,138189,Diesel,Automatic,Second,17.9,1998,107,7,Bangalore,1.69
1239,Honda,City,2022,109534,Diesel,Automatic,First,18.5,1497,78,4,Bangalore,7.08
1240,Volkswagen,Polo,2016,125966,CNG,Automatic,Third,18.9,1598,51,4,Mumbai,2.71
1241,Mahindra,TUV300,2013,81203,Petrol,Manual,Third,20.2,1998,88,4,Mumbai,2.48
1242,Maruti,Dzire,2021,69158,CNG,Manual,First,18.1,998,92,5,Bangalore,6.75
1243,Volkswagen,Vento,2008,46036,Petrol,Manual,Second,15.7,1598,89,5,Pune,1.5
1244,Hyundai,i20,2015,84819,CNG,Manual,First,19.2,1998,51,4,Hyderabad,4.82
1245,Volkswagen,Jetta,2006,55892,Diesel,Manual,First,19.4,1598,90,5,Mumbai,1.77
1246,Volkswagen,Vento,2006,12429,Diesel,Manual,Second,23.0,1497,105,5,Pune,1.5
1247,Ford,Aspire,2020,45179,CNG,Automatic,Second,14.2,1197,73,4,Bangalore,7.11
1248,Hyundai,Verna,2019,77440,CNG,Manual,First,19.6,1497,70,5,Hyderabad,6.14
1249,Volkswagen,Polo,2010,116296,Diesel,Automatic,First,15.7,1598,73,7,Delhi,1.5
1250,Hyundai,i10,2020,94830,Petrol,Manual,Second,15.2,1598,58,4,Chennai,5.12
1251,Mahindra,Scorpio,2015,89153,CNG,Manual,Second,21.2,1497,66,7,Mumbai,5.03
1252,Maruti,Dzire,2008,132000,Diesel,Manual,Second,19.5,1998,89,7,Kolkata,1.5
1253,Honda,Jazz,2008,87342,Diesel,Manual,First,20.1,1197,73,5,Mumbai,1.51
1254,Toyota,Corolla,2016,119011,CNG,Automatic,Third,25.7,1197,83,4,Pune,4.09
1255,Mahindra,TUV300,2007,147758,Diesel,Automatic,First,15.9,1998,84,4,Delhi,1.5
1256,Mahindra,TUV300,2021,62994,CNG,Manual,First,16.1,1497,121,7,Chennai,7.49
1257,Maruti,Dzire,2011,138143,Petrol,Automatic,First,16.3,1598,98,4,Hyderabad,2.62
1258,Toyota,Etios,2006,131209,CNG,Automatic,Third,19.9,998,54,5,Bangalore,1.5
1259,Mahindra,XUV500,2011,29144,Petrol,Automatic,Second,17.3,998,84,7,Delhi,4.13
1260,Maruti,Baleno,2006,85259,Diesel,Manual,First,18.5,1598,58,5,Chennai,1.5
1261,Toyota,Etios,2017,31037,CNG,Manual,Third,19.8,1497,96,4,Mumbai,5.72
1262,Ford,Figo,2021,43383,CNG,Manual,First,20.5,998,94,5,Chennai,7.5
1263,Volkswagen,Jetta,2022,121182,CNG,Automatic,First,13.0,1197,94,5,Bangalore,6.98
1264,Hyundai,i20,2011,39581,Petrol,Automatic,Third,18.8,998,59,4,Mumbai,2.57
1265,Maruti,Swift,2006,127031,CNG,Manual,First,21.2,998,84,5,Chennai,1.5
1266,Hyundai,Verna,2011,24796,Petrol,Automatic,First,18.1,1998,86,5,Hyderabad,4.87
1267,Ford,Aspire,2015,72102,Diesel,Manual,Third,16.5,1998,87,4,Chennai,3.33
1268,Honda,Amaze,2006,55910,CNG,Automatic,Third,16.7,1598,79,4,Bangalore,1.5
1269,Volkswagen,Jetta,2017,147484,Diesel,Automatic,Second,16.6,1197,110,5,Chennai,3.4
1270,Hyundai,Verna,2020,73168,Petrol,Automatic,Third,17.4,1197,76,5,Delhi,6.76
1271,Ford,Figo,2018,148934,Petrol,Automatic,First,18.6,1497,106,4,Bangalore,3.98
1272,Volkswagen,Polo,2019,107275,Petrol,Manual,First,18.8,1497,103,5,Pune,5.5
